# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	2068
#@/user_id	mac_didi
a 	啊	c=3 d=0.621885 t=2066
a li 	阿里	c=2 d=1.08672 t=2066
ai 	愛	c=1 d=0.995012 t=2066
an shi 	暗示	c=1 d=0.00210172 t=2066
an zhuang 	安裝	c=1 d=0.806541 t=2066
ba 	吧	c=10 d=1.47723 t=2066
ba 	把	c=11 d=0.749779 t=2066
ba tuo 	吧託	c=0 d=0.0126268 t=2066
ba ye 	霸業	c=1 d=0.117655 t=2066
bai du 	百度	c=1 d=0.00609675 t=2066
bai gan 	白乾	c=1 d=0.0675424 t=2066
bai tiao 	白條	c=1 d=0.138069 t=2066
ban ben 	版本	c=1 d=0.506617 t=2066
bang 	幫	c=1 d=0.0731678 t=2066
bang 	綁	c=1 d=0.0340475 t=2066
bang mang 	幫忙	c=1 d=0.00453922 t=2066
bao 	包	c=4 d=0.0177902 t=2066
bao biao 	報表	c=1 d=0.251579 t=2066
bao gui 	寶貴	c=1 d=0.00522135 t=2066
bao kuo 	包括	c=1 d=0.00290884 t=2066
bei 	倍	c=2 d=0.123767 t=2066
bei 	北	c=1 d=0.299692 t=2066
bei 	碑	c=1 d=0.292293 t=2066
bei 	被	c=6 d=0.427047 t=2066
bei da 	北大	c=1 d=0.250324 t=2066
bei ke 	北科	c=1 d=0.290835 t=2066
bei you 	北郵	c=0 d=0.0146607 t=2066
bei you ren 	北郵人	c=1 d=0.147342 t=2066
bei zi 	杯子	c=1 d=0.0229371 t=2066
bei zi 	被子	c=1 d=0.0228227 t=2066
ben 	本	c=1 d=0.447088 t=2066
ben shi 	本事	c=1 d=0.00238156 t=2066
bi 	比	c=1 d=0.0607702 t=2066
bi ji 	筆記	c=2 d=0.674783 t=2066
bi jia 	比價	c=1 d=0.0303487 t=2066
bi li 	比例	c=1 d=0.0146253 t=2066
bi sai 	比賽	c=2 d=0.63738 t=2066
bi shang 	閉上	c=1 d=0.282239 t=2066
bi xu de 	必需的	c=1 d=0.247833 t=2066
bi ye 	畢業	c=2 d=0.227719 t=2066
bi yi ge 	比一個	c=1 d=0.228779 t=2066
bian di 	貶低	c=1 d=0.416862 t=2066
bian ji 	編輯	c=1 d=0.99005 t=2066
biao 	表	c=1 d=0.119433 t=2066
bie ren 	別人	c=1 d=0.418952 t=2066
bin 	斌	c=1 d=0.156453 t=2066
bo dong 	波動	c=2 d=0.0125045 t=2066
bo shi 	博士	c=6 d=1.21368 t=2066
bu 	不	c=8 d=0.960601 t=2066
bu 	步	c=3 d=1.51816 t=2066
bu 	部	c=1 d=0.0468877 t=2066
bu dai 	布袋	c=1 d=0.453845 t=2066
bu dao 	不到	c=1 d=0.0769192 t=2066
bu duo 	不多	c=1 d=0.516851 t=2066
bu fen 	部分	c=1 d=0.00293808 t=2066
bu gei 	不給	c=1 d=0.140156 t=2066
bu guo 	不過	c=2 d=0.106349 t=2066
bu kui 	不虧	c=1 d=0.191092 t=2066
bu lai 	不來	c=1 d=0.329559 t=2066
bu neng 	不能	c=6 d=0.451821 t=2066
bu qing 	不清	c=1 d=0.0706512 t=2066
bu qu 	不去	c=1 d=0.847894 t=2066
bu ran 	不然	c=1 d=0.00264522 t=2066
bu ru 	不如	c=1 d=0.839457 t=2066
bu shang 	不上	c=2 d=0.732098 t=2066
bu shi 	不是	c=8 d=1.62413 t=2066
bu shu fu 	不舒服	c=1 d=0.054204 t=2066
bu tong 	不同	c=4 d=1.51986 t=2066
bu xie 	不寫	c=1 d=0.245367 t=2066
bu xing 	不行	c=1 d=0.00914087 t=2066
bu yao 	不要	c=3 d=0.497473 t=2066
bu yi yang 	不一樣	c=1 d=0.0490458 t=2066
bu yi zhi 	不一致	c=2 d=0.0741453 t=2066
bu zhi 	不知	c=1 d=0.250324 t=2066
bu zhi de 	不值得	c=1 d=0.00506703 t=2066
bu zhong yao 	不重要	c=2 d=0.0728029 t=2066
cai 	才	c=1 d=0.00752142 t=2066
cai jing 	財經	c=1 d=0.163654 t=2066
can fang 	參訪	c=0 d=0.00426384 t=2066
can kao 	參考	c=2 d=0.245109 t=2066
ce lve 	策略	c=1 d=0.0327124 t=2066
ce shi 	測試	c=1 d=0.0219278 t=2066
cha 	差	c=2 d=0.523741 t=2066
cha 	查	c=2 d=1.15512 t=2066
cha bie 	差別	c=1 d=0.100761 t=2066
cha bu duo 	差不多	c=1 d=0.00860854 t=2066
cha kan 	查看	c=1 d=0.980199 t=2066
cha yue 	查閱	c=1 d=0.985112 t=2066
cha zhun lv 	查準率	c=1 d=0.0176857 t=2066
chan chu 	產出	c=1 d=0.174645 t=2066
chang 	長	c=1 d=0.66034 t=2066
chang shi 	嘗試	c=2 d=0.369973 t=2066
che pi 	扯皮	c=1 d=0.349938 t=2066
chen 	陳	c=6 d=0.441755 t=2066
cheng 	乘	c=1 d=0.615697 t=2066
cheng 	成	c=1 d=0.0123389 t=2066
cheng gong 	成功	c=1 d=0.0739031 t=2066
cheng ke 	乘客	c=1 d=0.172045 t=2066
cheng shi 	城市	c=3 d=0.933706 t=2066
cheng wei 	成爲	c=1 d=0.159614 t=2066
chi 	吃	c=1 d=0.618783 t=2066
chi fan 	吃飯	c=1 d=0.00214418 t=2066
chong qi 	重啓	c=3 d=0.017816 t=2066
chou 	仇	c=1 d=0.00259284 t=2066
chou xiang 	抽象	c=1 d=0.00740944 t=2066
chu 	出	c=3 d=0.0497871 t=2066
chu lai 	出來	c=1 d=0.0190894 t=2066
chu lai de 	出來的	c=1 d=0.138069 t=2066
chu li 	處理	c=3 d=0.198913 t=2066
chu qu 	出去	c=1 d=0.0495388 t=2066
chu xian 	出現	c=2 d=0.0178642 t=2066
chuan 	串	c=1 d=0.0026852 t=2066
ci 	次	c=1 d=0.00995182 t=2066
ci 	詞	c=2 d=1.06634 t=2066
ci ku 	詞庫	c=2 d=0.813154 t=2066
cong 	從	c=5 d=0.836962 t=2066
cuo 	錯	c=1 d=0.158817 t=2066
cuo wu 	錯誤	c=2 d=1.93707 t=2067
da 	大	c=1 d=0.0461896 t=2066
da 	達	c=2 d=1.26497 t=2066
da da 	大大	c=1 d=0.904837 t=2066
da guo 	打過	c=1 d=0.263158 t=2066
da jia 	大家	c=1 d=0.0528657 t=2066
