# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
a 	阿	c=18 d=1.9802 t=139245
a di 	阿迪	c=1 d=1 t=54125
a er 	阿爾	c=1 d=1 t=201749
a gan 	阿甘	c=1 d=1 t=104306
a li 	阿里	c=61 d=1 t=204034
a li ba ba 	阿里巴巴	c=2 d=1 t=185477
a li ma ma 	阿里媽媽	c=1 d=1 t=37630
a li xing 	阿里星	c=1 d=1 t=19694
a li yue 	阿里月	c=1 d=1 t=30644
a li yun 	阿里雲	c=4 d=1.44709 t=183876
a wa 	阿瓦	c=2 d=1 t=94080
a wa long 	啊瓦隆	c=1 d=3.12029e-05 t=4073
a wa long 	阿瓦隆	c=5 d=1 t=199253
a yi 	阿姨	c=5 d=1 t=113171
ai 	唉	c=5 d=1 t=159560
ai 	埃	c=1 d=1 t=158848
ai 	愛	c=13 d=1.00004 t=201746
ai 	艾	c=3 d=1 t=151327
ai bing 	哀兵	c=1 d=1 t=77021
ai da bu li 	愛答不理	c=1 d=1 t=42891
ai dao 	哀悼	c=2 d=1.96561 t=137886
ai fou 	愛否	c=4 d=1.99501 t=157525
ai guo 	愛國	c=1 d=1 t=18921
ai guo zhu yi 	愛國主義	c=1 d=1 t=134130
ai hao 	愛好	c=2 d=1 t=26063
ai hao zhe 	愛好者	c=2 d=1 t=175836
ai ma 	捱罵	c=1 d=1 t=17142
ai pai 	挨排	c=1 d=1 t=186301
ai qi yi 	愛奇藝	c=6 d=1 t=114319
ai qing 	愛情	c=5 d=1 t=106519
ai shi 	礙事	c=1 d=1 t=86402
ai zheng 	癌症	c=2 d=1 t=106484
an 	安	c=8 d=1.99501 t=120323
an 	按	c=217 d=1.00112 t=205278
an 	暗	c=4 d=1.09501 t=148316
an 	案	c=1 d=1 t=182140
an bu 	按部	c=1 d=1 t=168647
an de 	安德	c=3 d=1.00801 t=115185
an de luo 	安德羅	c=1 d=1 t=114681
an dian 	鞍點	c=4 d=1 t=201326
an hei 	暗黑	c=3 d=1 t=171271
an hei san 	暗黑三	c=1 d=1 t=61218
an jian 	按鍵	c=17 d=1.51163 t=170848
an kang 	安康	c=1 d=1 t=197308
an li 	案例	c=4 d=1 t=134348
an ni 	安妮	c=2 d=1 t=192453
an niu 	按鈕	c=2 d=1 t=138136
an pai 	安排	c=21 d=1 t=204999
an qi dai 	按期待	c=1 d=1 t=26621
an quan 	安全	c=13 d=1.01851 t=168099
an quan dai 	安全帶	c=1 d=1 t=94182
an quan de 	安全的	c=2 d=1 t=173212
an quan gan 	安全感	c=1 d=1 t=176204
an quan ku 	安全褲	c=1 d=1 t=168100
